2017-09-07 16:46:37:2686	../../../files/testListWithPickListSize100.txt
InstanceNumber	DistanceMatrixRunningTime	GACycleSwapTotalDistance	GACycleSwapRunningTime	GACycleInversionTotalDistance	GACycleInversionRunningTime	GAOrderedSwapTotalDistance	GAOrderedSwapRunningTime	GAOrderedInversionTotalDistance	GAOrderedInversionRunningTime	GAPMXSwapTotalDistance	GAPMXSwapRunningTime	GAPMXInversionTotalDistance	GAPMXInversionRunningTime	SShapeTravelledTotalDistance	SShapeRunningTime	LargestGapTravelledTotalDistance	LargestGapRunningTime
146	564.87	2306.09999999999	298.581	1886.02	675.475	2307.65999999999	35.898	1896.86	46.346	2277.85999999999	133.606	1712.96	120.27	2170.4	0.001	1765.98	0.002
147	562.715	2240.57999999999	289.212	1733.92	565.925	2047.06	42.033	1173.56	56.479	2116.07999999999	138.556	1907.56	128.848	2247.68	0.001	1883	0.002
148	563.399	2382.69999999999	229.498	1755.29999999999	638.802	2284.15999999999	51.274	1371.4	49.409	2269.35999999999	98.902	1900.93999999999	160.148	2192.76	0.001	1827.6	0.002
149	562.724	2103.67999999999	294.916	1442.34	582.17	1797.05999999999	63.262	1774.06	38.841	2355.31999999999	181.808	1368.66	160.848	2165.4	0.001	1823.42	0.003
150	562.357	2191.59999999999	185.134	1375.74	537.77	1953.35999999999	55.843	1623.4	55.373	2016.39999999999	199.974	1589.76	136.597	2037.92	0.001	1794.36	0.002
151	563.162	2490.29999999999	216.237	1874.17999999999	555.939	2021.09999999999	62.23	1771.33999999999	43.992	2322.91999999999	146.684	1778.44	156.005	2153.78	0.001	1838	0.002
152	562.788	2524.73999999999	361.848	1521.94	813.724	2056.49999999999	50.447	1725.76	33.837	2668.01999999999	84.891	1867.22	171.986	2142.56	0.001	1915.56	0.002
153	562.922	2214.27999999999	197.171	1842.22	548.982	2148.71999999999	31.684	1714.7	41.746	2079.95999999999	124.071	1636.38	127.463	2110	0.001	1872.26	0.002
154	562.072	2466.31999999999	321.841	1705.22	468.097	1967.99999999999	53.811	1519.36	42.661	2422.37999999999	196.605	1558.34	127.635	2015.9	0.001	1810.98	0.002
155	562.846	2378.11999999999	358.83	1933.9	461.138	2007.28	49.627	1627.78	57.975	2679.83999999998	132.232	1633.18	186.008	2203.84	0.001	1716.8	0.002
156	561.901	2416.01999999999	321.768	1526.94	688.729	2003.78	42.815	1532.52	73.636	2064.89999999999	180.892	1723.38	147.78	2270.18	0.001	1771.86	0.002
157	563.338	2634.65999999999	317.426	1276.86	604.631	2332.21999999999	37.281	1418.2	46.365	1877.59999999999	162.661	1452.78	154.94	2214.58	0.001	1817.2	0.002
158	562.198	2294.41999999999	229.691	1530.5	450.298	2105.65999999999	35.377	1648.56	55.739	2192.37999999999	115.108	1375.46	133.061	2059.6	0.001	1805.1	0.002
159	563.845	2044.37999999999	295.681	1687.66	537.588	2056.33999999999	61.413	1649.7	46.727	1931.57999999999	207.437	1588.42	183.934	2071.02	0.001	1694.64	0.002
160	563.122	2205.49999999999	329.538	1431.78	564.987	1794.58	75.805	1664.44	39.611	2396.73999999999	111.12	1537.58	174.514	2103.92	0.001	1727.88	0.002
161	560.506	1802.12	263.574	1883.02	490.043	2324.31999999999	32.767	1730.2	47.496	2166.23999999999	130.005	1682.78	151.328	2048.66	0.001	1860.84	0.002
162	560.885	2398.71999999999	315.867	1636.24	457.365	1528.66	35.96	1633.42	46.089	2361.31999999999	89.732	1729.39999999999	122.102	2181.34	0.001	1754.9	0.002
163	560.052	2145.95999999999	414.677	1625.5	525.653	1705.86	43.602	1509.3	50.307	1896.51999999999	165.751	1375	246.695	2258.76	0.001	1755.24	0.002
164	560.894	2195.23999999998	146.389	1716.61999999999	417.313	1908.53999999999	48.011	1585.84	42.324	2368.87999999999	104.245	1807.09999999999	172.306	2125.94	0.001	1733.08	0.002
165	569.002	2448.23999999999	220.6	1688.18	580.522	1908.6	62.554	1581.82	40.288	2256.81999999999	124.789	1654.22	184.177	2220.66	0.001	1684.58	0.002
166	561.001	2543.49999999999	309.837	1575.78	735.24	2352.77999999999	47.1	1795.3	51.333	2364.07999999999	129.339	1768.18	219.941	2065.62	0.001	1812.34	0.002
167	561.175	2445.67999999999	196.141	1299.74	590.835	2047.48	35.408	1428.96	54.146	1939.37999999999	106.061	1621.46	211.738	2209.58	0.001	1823.76	0.002
168	561.273	2278.33999999999	290.794	1721.54	384.087	2335.67999999999	34.259	1166.98	50.938	2276.97999999999	121.208	1343.64	164.412	2059.6	0.001	1772.54	0.002
169	560.491	2273.39999999999	174.433	1590.76	531.582	2071.05999999999	39.4	1497.68	57.472	1940.47999999999	150.491	1715.6	134.887	2071.02	0.001	1751.06	0.002
170	560.634	2250.93999999999	286.433	1812.84	797.011	2078.45999999999	51.301	1754.48	57.178	2181.39999999999	129.286	1515.66	198.653	2143.24	0.001	1823.08	0.002
171	560.548	2188.57999999999	213.641	1575.64	542.387	1763.47999999999	58.061	1720.6	48.885	1990.13999999999	133.535	1450.26	154.879	2137.84	0.001	1861.52	0.002
172	562.265	2079.27999999999	287.798	1615.92	573.851	1941.11999999999	53.056	1409.14	37.477	2381.55999999999	132.153	1719.54	207.249	2010.22	0.001	1712.28	0.002
173	560.921	2014.47999999999	217.684	1643.28	486.946	2108.39999999999	31.996	1491.2	54.193	2283.69999999999	134.45	1538.12	185.084	2182.16	0.001	1756.6	0.002
174	559.637	2208.75999999999	251.427	1688.58	570.755	2126.63999999999	35.138	1184.98	62.881	2346.81999999999	173.11	1703.4	132.314	2270.66	0.001	1700.52	0.002
175	559.671	2314.01999999999	289.553	1750.16	719.741	1892.28	38.899	1847.54	81.462	2421.53999999999	192.926	1931.18	141.108	2214.44	0.001	1815.84	0.002
176	560.614	2293.95999999999	323.632	1540.84	510.347	1677.66	37.773	1380.88	43.953	2032.83999999999	116.572	1403.56	168.685	2154.46	0.001	1689.78	0.002
177	561.731	2577.33999999999	133.204	1387.62	511.547	2519.57999999999	54.544	1557.56	33.545	2376.21999999999	110.922	1599.04	178.004	2220.66	0.001	1816.52	0.002
178	561.671	2343.63999999999	238.463	1541.32	532.917	2287.07999999999	49.474	1838.74	36.756	2338.97999999999	145.457	1644.64	152.791	2292.4	0.001	1738.96	0.002
179	561.592	2317.53999999999	330.698	1583.06	470.132	2123.93999999999	50.786	1605.86	63.083	2393.45999999999	100.265	1567.72	115.239	2032.38	0.001	1799.9	0.002
180	561.638	2340.85999999999	255.816	1550.1	524.484	2068.09999999999	36.838	1429.26	49.707	2515.13999999999	127.339	1485.88	231.771	2120.4	0.001	1837.66	0.002
181	561.275	2251.01999999999	323.989	1115.24	589.194	2261.69999999999	57.243	1622.14	46.511	2376.31999999999	104.999	1946.68	133.004	1944.36	0.001	1728.9	0.002
182	559.787	2480.19999999999	185.886	1641.1	552.373	2241.25999999999	36.487	1593.14	49.278	2444.83999999999	96.197	1393.44	170.251	2115.2	0.001	1854.96	0.002
183	564.137	1960.03999999999	228.172	1719	566.174	2101.87999999999	37.26	1431.68	45.601	2399.29999999999	101.323	1699.2	159.913	2132.3	0.001	1728.22	0.002
184	563.742	2336.99999999999	219.27	1382.56	582.236	2034.53999999999	70.633	1235.18	69.883	2182.77999999999	142.8	1403.64	114.966	2137.16	0.001	1682.54	0.002
185	563.103	1970.69999999999	369.33	1656.56	624.93	2193.07999999999	52.742	1894.28	64.704	2430.25999999999	142.052	1550.66	224.422	2297.4	0.001	1915.9	0.002
186	562.624	2293.31999999999	341.318	1564.6	604.78	2045.53999999999	62.68	1659.42	48.789	2414.69999999999	111.595	1626.18	171.73	2126.76	0.001	1734.78	0.002
187	563.307	2335.13999999999	296.121	1233.8	883.67	1852.76	44.922	1474.2	43.131	1848.3	166.768	1202.96	141.551	1950.1	0.001	1629.52	0.002
188	563.161	2299.47999999999	280.982	1355.2	415.506	2277.69999999999	39.535	1355.86	39.655	2202.43999999999	177.641	1909.56	163.763	2026.5	0.001	1672.48	0.003
189	562.648	2197.85999999999	205.522	1702.84	454.78	1783.54	45.86	1514.84	52.046	2256.31999999999	148.651	1534.76	216.943	2092.84	0.001	1688.42	0.002
190	564.42	2411.11999999999	290.718	1439.58	524.292	2184.93999999999	54.205	1289.54	37.604	2053.87999999999	102.042	1533.16	190.55	2269.98	0.001	1788.82	0.002
191	563.601	2170.01999999999	271.909	1688.44	548.268	2235.17999999999	54.514	1506.44	40.773	2158.93999999999	145.204	1472.86	157.327	1932.8	0.001	1694.64	0.002
192	563.277	2377.59999999999	311.839	1612.62	659.697	2165.87999999999	55.872	1841.28	45.186	2408.93999999999	130.504	1527.04	155.004	2192.42	0.001	1789.16	0.002
193	566.248	2050.83999999999	346.647	1525.72	626.109	2384.03999999999	46.976	1593.86	60.967	2098.37999999999	112.995	1446.58	200.662	2020.96	0.001	1744.5	0.002
194	564.181	2139.01999999999	288.238	1603.88	549.484	1813.46	34.006	1539.1	46.23	1958.03999999999	153.212	1721.36	174.706	1833.5	0.001	1644.78	0.002
195	563.928	2056.09999999999	350.922	1516.5	559.992	1839.57999999999	46.8	1466.3	39.848	1791.6	208.077	1294.94	159.696	2164.72	0.001	1810.3	0.002
196	564.823	2410.13999999999	175.511	1605.82	517.234	1816.59999999999	47.639	1515.66	59.801	2351.37999999998	170.914	1768.64	137.266	2176	0.001	1705.72	0.003
197	564.642	2145.65999999999	236.199	1644.62	458.106	2269.93999999999	48.779	1638.48	61.676	2207.07999999999	102.888	1373.48	190.32	2142.56	0.001	1849.08	0.002
198	563.892	2074.71999999999	305.532	1226.56	422.396	2145.95999999999	48.821	1674.14	52.17	2437.17999999999	164.335	1767.16	153.447	2126.08	0.001	1816.52	0.002
199	564.655	2097.77999999999	219.609	1857.9	653.442	1894.75999999999	49.159	1570.92	52.776	2415.41999999999	145.434	1657.94	125.127	2093.52	0.001	1817.54	0.002
200	564.301	2478.01999999999	199.495	1620.44	661.767	1754.33999999999	36.568	1681.58	48.005	2110.91999999999	121.877	1608.38	135.872	2076.56	0.001	1755.58	0.002
201	563.861	2442.79999999999	197.745	1917.19999999999	527.568	2225.01999999999	30.3	1547.4	59.029	2678.69999999999	95.794	1800.56	208.131	2115	0.001	1717.82	0.002
202	562.646	2099.25999999999	339.929	1404.92	781.711	2183.41999999999	50.167	1732.42	47.517	2389.53999999999	107.24	1050.78	224.788	2142.9	0.001	1883	0.002
